ID,Habitat,Type,Breakage,CrowAge,FLength,FWeight,LightBars,MediumBars,StrongBars,BarsTotal,DamageScore,LightLength,MediumLength,StrongLength,,,,,,,,
82,rural,tail,0,,,,4,5,0,9,22.41,3.345,1.806,NA,,,,,,,,
83,rural,tail,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
200a,rural,tail,0,,,,6,7,0,13,105.47,5.891666667,10.01714286,NA,,,,,,,,
200b,rural,tail,0,,,,14,3,0,17,135.62,8.027142857,11.62,NA,,,,,,,,
232,rural,tail,0,,,,11,2,0,13,114.47,8.757272727,9.07,NA,,,,,,,,
235,rural,tail,0,,,,0,1,0,1,4.18,NA,4.18,NA,,,,,,,,
264,rural,tail,0,,,,3,6,0,9,51.47,7.026666667,5.065,NA,,,,,,,,
269,rural,tail,1,,,,4,9,1,14,154.26,13.705,9.484444444,14.08,,,,,,,,
277,rural,tail,0,,,,8,9,0,17,125.37,8.1025,6.727777778,NA,,,,,,,,
278,rural,tail,0,,,,14,5,0,19,114.2,6.450714286,4.778,NA,,,,,,,,
279,rural,tail,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
307,rural,tail,0,,,,3,1,0,4,11.29,3.3,1.39,NA,,,,,,,,
353,rural,tail,0,,,,1,5,0,6,30.7,11.94,3.752,NA,,,,,,,,
355,rural,tail,0,,,,1,0,0,1,8.14,8.14,NA,NA,,,,,,,,
401c,rural,tail,0,,,,1,5,0,6,28.08,7.45,4.126,NA,,,,,,,,
406b,rural,tail,0,,,,9,0,0,9,50.98,5.664444444,NA,NA,,,,,,,,
435,rural,tail,0,,,,0,1,0,1,16.7,NA,16.7,NA,,,,,,,,
473c,rural,tail,1,,,,2,1,0,3,35.18,5.825,23.53,NA,,,,,,,,
505,rural,tail,0,,,,0,1,0,1,2.96,NA,2.96,NA,,,,,,,,
538a,rural,tail,1,,,,16,14,1,31,283.49,7.838125,10.185,15.49,,,,,,,,
538b,rural,tail,1,,,,14,12,2,28,194.88,5.595714286,7.635,12.46,,,,,,,,
590,rural,tail,0,,,,1,1,0,2,7.89,4.4,3.49,NA,,,,,,,,
603,rural,tail,1,,,,5,1,3,9,61.57,5.054,3.15,11.05,,,,,,,,
15a,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
84,urban,primary,0,,,,4,4,0,8,58.93,3.385,11.3475,NA,,,,,,,,
255,urban,primary,0,,,,1,0,0,1,9.3,9.3,NA,NA,,,,,,,,
298,urban,primary,0,,,,2,0,0,2,9.43,4.715,NA,NA,,,,,,,,
399,urban,primary,0,,,,3,0,0,3,18.43,6.143333333,NA,NA,,,,,,,,
418a,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
441,urban,primary,0,,,,3,2,0,5,47.31,9.016666667,10.13,NA,,,,,,,,
444b,urban,primary,0,,,,6,0,0,6,29.16,4.86,NA,NA,,,,,,,,
453,urban,primary,0,,,,2,0,0,2,41.57,20.785,NA,NA,,,,,,,,
461b,urban,primary,0,,,,3,0,0,3,17.08,5.693333333,NA,NA,,,,,,,,
470,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
529,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
532a,urban,primary,0,,,,1,1,2,4,11.89,1.76,2.68,7.45,,,,,,,,
532b,urban,primary,0,,,,3,2,0,5,27.57,4.586666667,6.905,NA,,,,,,,,
533,urban,primary,0,,,,8,0,0,8,126.36,15.795,NA,NA,,,,,,,,
541a,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
546,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
547,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
552,urban,primary,0,,,,0,0,1,1,18.82,NA,NA,18.82,,,,,,,,
555,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
568,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
569,urban,primary,0,,,,0,2,0,2,24.33,NA,12.165,NA,,,,,,,,
570,urban,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
